user_id,label,count_tweets,count_words,count_truncated,count_in_reply_to_status_id,count_in_reply_to_user_id,count_in_reply_to_screen_name,count_retweeted_status_id,count_place,sum_retweet_count,sum_reply_count,sum_favorite_count,count_favorited,count_retweeted,possibly_sensitive,sum_num_hastags,sum_num_urls,sum_num_mentions,max_created_at,min_created
467203615,social_spambots_1,1280,19395,0,0,0,0,4,0,991,0,307,0,0,1240,100,33,4,2014-11-12T22:31:06,2014-05-19T19:55:39
545309765,social_spambots_1,1280,19305,0,0,0,0,9,0,1709,0,453,0,0,1246,122,25,14,2014-11-13T08:58:07,2014-05-27T10:12:33
21706899,fake_followers,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2009-02-23T23:26:02,2009-02-23T23:26:02
34461690,fake_followers,1,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2009-04-23T00:33:09,2009-04-23T00:33:09
38021637,fake_followers,1,16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2009-05-05T21:19:25,2009-05-05T21:19:25
47497854,fake_followers,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2009-06-16T01:00:06,2009-06-16T01:00:06
48336195,fake_followers,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2009-06-18T12:42:44,2009-06-18T12:42:44
50342870,fake_followers,1,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2009-06-24T15:56:12,2009-06-24T15:56:12
54047372,fake_followers,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2009-07-06T00:00:15,2009-07-06T00:00:15
62969150,fake_followers,1,27,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2009-08-04T23:58:55,2009-08-04T23:58:55
63478699,fake_followers,1,12,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2009-08-09T23:46:04,2009-08-09T23:46:04
65319316,fake_followers,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2009-08-13T08:50:10,2009-08-13T08:50:10
67828913,fake_followers,1,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2009-08-22T06:08:32,2009-08-22T06:08:32
99268708,fake_followers,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2012-08-16T12:56:43,2012-08-16T12:56:43
